PA_ASSESSED_VALUE,PA_LATITUDE,PA_LONGITUDE,Acres,Bathrooms,Bedrooms,Beds Above Grade,Condo Fee,Construction – Wood Frame,Construction – Concrete,Construction – Insulated Concrete,Ensuite,Exposure – North,Exposure – Northwest,Exposure – West,Exposure – Southwest,Exposure – South,Exposure – Southeast,Exposure – East,Exposure – Northeast,Fireplace,Foundation – Concrete,Foundation – Block,Foundation – Brick/Stone/Block,Foundation – Concrete Slab,Foundation – Grade Beam,Foundation – Preserved Wood,Foundation – Other,Full Baths,Half Baths,Has Basement,Has Pool,Heating – Forced Air-1,Heating – Forced Air-2,Heating – Baseboard,Heating – Fan Coil,Heating – Gravity,Heating – Hot Water,Heating – In Floor Heat System,Heating – Other,Is Waterfront,Parking Spaces,Roof – Asphalt Shingles,Roof – Cedar Shakes,Roof – Clay Tile,Roof – Concrete Tiles,Roof – EPDM Membrane,Roof – Fiberglass,Roof – Metal,Roof – Pine Shakes,Roof – Roll Roofing,Roof – Tar & Gravel,Roof – Vinyl Shingles,Roof – Wood Shingles,Roof – Other,Square Footage,Style - 1 and Half Storey,Style - 2 and Half Storey,Style - 2 Storey,Style - 2 Storey Split,Style - 3 Level Split,Style - 3 Storey,Style - 4 Level Split,Style - 5 Level Split,Style - Back Split,Style – Bi-Level,Style – Bungalow,Style - Bungalow Semi,Style - Hillside Bungalow,Style - Raised Bungalow,Style - Single Level Apartment,Type – Condo/Townhouse,Type – Single Family,Year Built,Police_Station,Catholic_School,Public_School,Bus_Stop,Playground,Public_Library,Recreation_Centre,Fire_Station,Price
379000,53.59540564,-113.3897599,0.11,3,5,3,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1118,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1999,3646,812,951,547,624,2244,2328,1392,369900
313500,53.60760566,-113.4363423,0.17,2,4,3,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1040,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1968,2084,551,416,152,446,1116,1226,1504,364500
320500,53.60824196,-113.4398078,0.16,3,6,4,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1374,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1968,2297,764,817,321,847,1330,1097,1717,364500
370500,53.59100298,-113.3947186,0.09,3,5,3,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1103,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2001,4408,1062,276,271,264,3006,3090,2154,359800
323500,53.59165954,-113.415165,0.13,3,5,3,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1224,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1975,1790,1472,675,107,708,1778,1862,2644,359500
358500,53.57916511,-113.3905254,0.16,3,5,3,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1284,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1978,4527,1666,268,289,609,2068,3603,3743,359000
337000,53.59154567,-113.39809,0.11,2,4,2,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,930,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1993,2955,1062,1162,815,1054,1578,1663,2754,358123
322000,53.58759313,-113.4146525,0.15,3,3,3,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1073,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1975,2448,821,270,307,149,2339,2424,2712,355500
345500,53.59347422,-113.4000899,0.14,3,4,3,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1510,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1975,2681,580,888,541,497,1305,1389,2480,354900
303500,53.60527418,-113.4330917,0,2,3,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1421,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1967,1440,145,865,155,211,1224,1197,1611,347000
319000,53.60947401,-113.4186737,0.07,3,3,3,75,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1631,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2009,723,1281,1244,448,697,2363,2337,2751,343000
328500,53.58902336,-113.3801493,0.13,3,5,3,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1198,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1977,4486,931,1307,761,742,3084,3168,2233,340000
341500,53.58872888,-113.3788122,0.13,2,4,3,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1216,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1977,4534,978,1354,798,790,3131,3216,2280,339900
337500,53.59638626,-113.4362489,0.14,3,5,3,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1096,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1966,2366,1612,226,119,398,1976,1949,2363,339900
306500,53.5976889,-113.3768424,0.08,4,3,3,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1294,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1994,3791,1313,1030,658,971,2388,2473,1512,339000
307000,53.60194971,-113.4379245,0.14,3,3,3,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1120,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1964,2258,505,274,218,329,1007,980,1394,339000
315000,53.60267535,-113.4246943,0.14,2,5,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1226,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1970,1086,968,953,273,274,2047,2021,2435,330000
340000,53.59426818,-113.4377572,0.13,2,4,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1191,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1962,2498,1377,156,214,578,1906,1880,2294,329900
325000,53.60034076,-113.432116,0.14,2,5,4,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1359,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1964,2099,803,387,114,578,1889,1862,2276,325000
