REAL_ESTATE_ADDRESS,REAL_ESTATE_ID,PA_SUITE,PA_HOUSE_NUMBER,PA_STREET_NAME,PA_ASSESSED_VALUE,PA_ACCOUNT_NUMBER,PA_LATITUDE,PA_LONGITUDE,Acres,Latitude,Longitude,Bathrooms,Bedrooms,Beds Above Grade,Condo Fee,Construction – Wood Frame,Construction – Concrete,Construction – Concrete Block,Construction – Insulated Concrete,Construction – Modular,Construction – Prefab,Construction – Steel Frame,Ensuite,Exposure – North,Exposure – Northwest,Exposure – West,Exposure – Southwest,Exposure – South,Exposure – Southeast,Exposure – East,Exposure – Northeast,Fireplace,Foundation – Concrete,Foundation – Block,Foundation – Brick/Stone/Block,Foundation – Concrete Slab,Foundation – Grade Beam,Foundation – Piling,Foundation – Preserved Wood,Foundation – Other or NaN,Full Baths,HOA Fees,HOA Fees Freq.,Half Baths,Has Basement,Has Pool,Heating – Forced Air-1,Heating – Forced Air-2,Heating – Baseboard,Heating – Fan Coil,Heating – Gravity,Heating – Heat Pump,Heating – Hot Water,Heating – In Floor Heat System,Heating – Other and NaN,Is Waterfront,Parking Spaces,Roof – Asphalt Shingles,Roof – Cedar Shakes,Roof – Clay Tile,Roof – Concrete Tiles,Roof – EPDM Membrane,Roof – Fiberglass,Roof – Metal,Roof – Pine Shakes,Roof – Roll Roofing,Roof – Tar & Gravel,Roof – Vinyl Shingles,Roof – Wood Shingles,Roof – Other or NaN,Square Footage,Style - 1 and Half Storey,Style - 2 and Half Storey,Style - 2 Storey,Style - 2 Storey Split,Style - 3 Level Split,Style - 3 Storey,Style - 4 Level Split,Style - 5 Level Split,Style - Back Split,Style – Bi-Level,Style – Bungalow,Style - Bungalow Semi,Style - Hillside Bungalow,Style – Loft,Style - Modular Home,Style - Multi Level Apartment,Style – NaN,Style - Not Applicable,Style – Penthouse,Style - Raised Bungalow,Style - Single Level Apartment,Style - Studio Suite,Sub-Type – 4Plex,Sub-Type - Apartment High Rise,Sub-Type – Carriage,Sub-Type - Detached Condominium,Sub-Type - Duplex Side By Side,Sub-Type - Duplex Up And Down,Sub-Type - Half Duplex,Sub-Type - Lowrise Apartment,Sub-Type - Residential Attached,Sub-Type - Residential Detached Single Family,Sub-Type - Single Wide,Sub-Type - Stacked Townhouse,Sub-Type – Townhouse,Sub-Type – Tri-Plex,Sub-Type - Vacant Lot,Type – Condo/Townhouse,Type – Single Family,Year Built,Price,Police_Station,Catholic_School,Public_School,Bus_Stop,Playground,Public_Library,Recreation_Centre,Fire_Station
104 roche CRESCENT,3613,,104,ROCHE CRESCENT NW,486500,1011832,53.47570579,-113.5900876,0.15,53.4756456,-113.5898794,3,3,2,NaN,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,3,NaN,NaN,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1608,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1983,540000,8488,569,827,319,689,1411,3620,2367
281 heath ROAD,3614,,281,HEATH ROAD NW,567000,1169101,53.46253372,-113.5998213,0.14,53.462562,-113.599991,4,5,4,NaN,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,NaN,NaN,1,1,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2207,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1989,539900,7517,2361,2449,347,799,2303,2649,1276
207 1406 hodgson WAY,3615,207,1406,HODGSON WAY NW,449000,10018152,53.45467774,-113.5605772,0.03,53.454524,-113.560386,2,2,2,633,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,NaN,NaN,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2004,539900,6482,1769,2149,1370,781,4195,2349,2671
7438 may COMMON,3616,,7438,MAY COMMON NW,503500,10275806,53.44716497,-113.5522674,0.06,53.4477432,-113.5519787,3,3,3,NaN,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,185,Annually,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1762,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2013,539000,6427,2687,2262,1682,804,5990,3384,3706
425 buchanan ROAD,3617,,425,BUCHANAN ROAD NW,542500,4071643,53.47147176,-113.5748477,0.15,53.4716152,-113.5747341,4,6,4,NaN,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,3,126,Annually,1,1,0,1,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1936,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1990,539000,8167,1765,426,346,336,2956,2562,2842
112 hayward CRESCENT,3618,,112,HAYWARD CRESCENT NW,563500,9996459,53.45940646,-113.5638446,0.11,53.4594202,-113.5636858,3,4,4,NaN,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,2,108,Annually,1,1,0,1,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,2139,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2003,535900,6512,1102,2154,1042,328,3528,1830,3414
113 roche CRESCENT,3619,,113,ROCHE CRESCENT NW,550000,4079117,53.47515975,-113.5900489,0.15,53.4752767,-113.5900864,4,4,4,NaN,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,NaN,NaN,0,1,0,1,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,2411,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1990,535000,8183,834,1091,97,685,1282,3314,2062
114 7021 south terwillegar DRIVE,3620,NaN,NaN,NaN,NaN,NaN,53.437509,-113.571647,0,53.437509,-113.571647,2,2,2,486,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,NaN,NaN,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2015,529900,3718,1572,1306,669,1325,5474,2868,3190
1311 carter crest ROAD,3621,,1311,CARTER CREST ROAD NW,500500,3891108,53.46428571,-113.5839453,0.22,53.46426,-113.583893,4,4,4,NaN,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,3,175,Annually,1,1,0,1,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1873,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1993,525000,8133,927,1569,488,747,2532,1723,2417
1014 leger BOULEVARD,3622,,1014,LEGER BOULEVARD NW,624000,9956836,53.46040437,-113.5689224,0.12,53.4603277,-113.5689793,3,3,3,NaN,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,2,NaN,NaN,1,1,0,1,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,2271,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1998,525000,6588,536,1843,424,586,3217,1263,3103
1329 falconer ROAD,3623,,1329,FALCONER ROAD NW,502500,9960289,53.46460149,-113.5921343,0.17,53.4646142,-113.5924259,3,3,1,NaN,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,NaN,NaN,0,1,0,1,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1332,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2001,524900,6969,1790,1900,492,397,1731,2100,848
1217 latta CRESCENT nw,3624,,1217,LATTA CRESCENT NW,528000,10010233,53.45927432,-113.5720333,0.1,53.459274,-113.572033,4,4,3,NaN,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,NaN,NaN,1,1,0,1,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1955,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2003,520000,6913,397,1733,285,447,3541,1125,2443
156 hayward CRESCENT,3625,,156,HAYWARD CRESCENT NW,594500,9996451,53.45962405,-113.5643721,0.11,53.4596316,-113.5645548,4,4,3,NaN,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,110,Annually,1,1,0,1,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,2207,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2003,519900,6455,1046,2097,1100,444,3471,1773,3357
692 leger WAY,3626,,692,LEGER WAY NW,467500,10040435,53.45761884,-113.5765064,0.1,53.4576454,-113.5766974,3,4,2,NaN,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,NaN,NaN,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1204,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2006,519900,7005,261,1275,109,139,4254,667,1969
973 burrows CRESCENT,3627,,973,BURROWS CRESCENT NW,502500,3883311,53.480744,-113.5700604,0.15,53.4806156,-113.5698812,4,3,3,NaN,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,3,126,Annually,1,1,0,1,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1982,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1994,518800,9119,1820,926,704,1003,3580,3514,3486
59 841 156 STREET,3628,59,841,156 STREET NW,431000,10063403,53.4387802,-113.5877973,0,53.438542,-113.5900929,3,3,1,260,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,NaN,NaN,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1392,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2006,514900,4819,2090,1824,1672,1149,5433,3386,3149
8055 shaske DRIVE,3629,,8055,SHASKE DRIVE NW,466500,10031310,53.43630086,-113.5725421,0.09,53.4362939,-113.5725511,3,4,4,NaN,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,NaN,NaN,1,1,0,1,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,2091,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2006,509500,3535,2406,2140,1983,2088,7367,3702,5082
5085 thibault WAY,3630,,5085,THIBAULT WAY NW,477000,10002567,53.44699269,-113.585456,0.11,53.446966,-113.5855791,4,5,3,NaN,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,105,Annually,1,1,0,1,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,1986,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2005,505000,5471,823,1065,569,594,4059,1831,1775
1847 holman CRESCENT,3631,,1847,HOLMAN CRESCENT NW,489000,10012074,53.45606383,-113.5638999,0.1,53.4561739,-113.563952,3,4,3,NaN,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,110,Annually,0,1,0,1,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2005,499975,6856,1447,2498,1335,652,3872,2175,3758
8643 sloane COURT,3632,,8643,SLOANE COURT NW,515500,10063529,53.43806127,-113.583745,0,53.43806127,-113.583745,3,4,4,NaN,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,NaN,NaN,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2126,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2007,499900,4350,1543,1277,1208,1225,5445,2839,3160
1517 lambert COURT,3633,,1517,LAMBERT COURT NW,510000,10015596,53.45481215,-113.5706232,0.11,53.45481215,-113.5706232,3,3,3,NaN,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,NaN,NaN,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2151,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2004,499900,6546,910,1325,759,789,4131,1317,1846
610 harker CLOSE,3634,,610,HARKER CLOSE NW,491500,9969409,53.45620995,-113.5952123,0.11,53.4561528,-113.5951403,3,5,3,NaN,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,2,NaN,NaN,1,1,0,1,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1759,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2001,499900,6843,2426,1775,610,535,3007,1975,722
395 burton ROAD,3635,,395,BURTON ROAD NW,515000,3765773,53.4787921,-113.5707762,0.13,53.4787473,-113.5706328,4,4,3,NaN,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,3,NaN,NaN,1,1,0,1,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1978,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1992,499900,8828,1529,635,413,712,3289,3223,3195
106 hayward CRESCENT,3636,,106,HAYWARD CRESCENT NW,575000,9996462,53.45906948,-113.5638436,0.11,53.4590576,-113.5636954,4,5,4,NaN,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,108,Annually,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2236,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2003,498000,6474,1065,2117,1004,291,3491,1793,3376
323 bulyea ROAD,3637,,323,BULYEA ROAD NW,532000,3115854,53.47386209,-113.5704582,0.18,53.473935,-113.570544,4,4,3,NaN,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,125,Annually,2,1,0,1,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,2020,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1988,495000,8306,1377,114,137,190,3138,2701,3044
1118 mckinney LINK,3638,,1118,MCKINNEY LINK NW,565000,10038361,53.45032265,-113.5629316,0.11,53.45032265,-113.5629316,3,3,3,NaN,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,2,NaN,NaN,1,1,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2065,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2006,493800,5573,1833,1408,828,337,5136,2530,2852
1093 carter crest ROAD,3639,,1093,CARTER CREST ROAD NW,501500,4251567,53.4623968,-113.5782969,0.12,53.46239,-113.578287,3,4,3,NaN,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,NaN,NaN,1,1,0,1,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1975,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1996,487500,7736,520,1581,81,340,2955,1316,2841
2612 hanna CRESCENT,3640,,2612,HANNA CRESCENT NW,452500,10009197,53.45051638,-113.5949541,0.09,53.450515,-113.594955,4,3,3,NaN,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,NaN,NaN,1,1,0,1,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1675,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2004,484800,5723,1877,1886,1139,390,3537,2086,1252
1208 henwood PLACE,3641,,1208,HENWOOD PLACE NW,477000,9967242,53.46064172,-113.5996918,0.1,53.46064,-113.599688,3,3,3,NaN,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,NaN,NaN,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1717,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2001,479900,6864,2446,1795,166,1112,2539,1995,798
2409 hagen WAY nw,3642,,2409,HAGEN WAY NW,475500,10035043,53.45225579,-113.5931459,0.09,53.4522558,-113.5931459,4,4,3,NaN,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,NaN,NaN,2,1,0,1,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1733,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2007,469900,5592,1746,1755,1209,460,3606,1955,1321
492 hunters GREEN,3643,,492,HUNTERS GREEN NW,434000,10002925,53.45378118,-113.5918285,0.09,53.4573134,-113.5929328,3,4,3,NaN,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,NaN,NaN,1,1,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1598,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2003,469900,5964,2511,1860,695,839,3092,2060,807
2568 hanna CRESCENT nw,3644,,2568,HANNA CRESCENT NW,465500,10021067,53.44998624,-113.5943043,0.09,53.449902,-113.5944028,4,4,3,NaN,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,3,NaN,NaN,1,1,0,1,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1670,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2005,469000,5776,1930,1938,1294,545,3691,2138,1406
84 rehwinkel ROAD,3645,,84,REHWINKEL ROAD NW,449000,4041679,53.47223048,-113.5848985,0,53.4721509,-113.5850295,3,3,2,NaN,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,125,Monthly,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1460,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1989,469000,9393,726,466,496,606,2453,4513,3595
6 577 butterworth WAY,3646,6,577,BUTTERWORTH WAY NW,432500,9965234,53.48133836,-113.5589827,0.09,53.481577,-113.560032,4,3,3,306,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,120,Annually,2,1,0,1,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,2136,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2003,459900,9809,2510,1616,1394,1693,4270,4204,4176
2414 hagen WAY,3647,,2414,HAGEN WAY NW,483000,10035084,53.45271491,-113.5927317,0.09,53.4526313,-113.5927195,3,3,3,NaN,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,NaN,NaN,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1739,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2007,459000,5671,1825,1834,919,539,3317,2034,1032
127 6083 maynard WAY nw,3648,127,6083,MAYNARD WAY NW,353000,10227526,53.44041277,-113.5645925,0,53.4408153,-113.5649683,2,2,2,396,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,2,NaN,NaN,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2010,449900,5743,1470,1045,973,1324,5786,3179,3501
462 hunters GREEN,3649,,462,HUNTERS GREEN NW,418500,9997819,53.45483387,-113.5908979,0.09,53.4573134,-113.5929328,3,3,3,NaN,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,NaN,NaN,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1798,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2002,449900,6017,2386,1735,570,885,2967,1935,682
8065 shaske DRIVE,3650,,8065,SHASKE DRIVE NW,443000,10031315,53.43606966,-113.5732229,0.09,53.4362072,-113.5732179,3,3,3,NaN,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,NaN,NaN,1,1,0,1,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1812,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2006,449888,3485,2355,2089,1932,2038,7316,3651,5032
1863 holman CRESCENT,3651,,1863,HOLMAN CRESCENT NW,472000,10012062,53.45646329,-113.5650181,0.1,53.4564644,-113.5648711,3,3,3,NaN,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,2,150,Annually,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1898,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2004,449000,6791,1381,2433,1270,586,3807,2109,3693
15 5873 mullen PLACE,3652,15,5873,MULLEN PLACE NW,379000,10484371,53.43259077,-113.5689434,0.06,53.4343959,-113.5700217,4,3,3,357,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,NaN,NaN,1,1,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2154,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2014,449000,3865,2272,2006,1102,2025,6999,4392,4714
406 1406 hodgson WAY,3653,406,1406,HODGSON WAY NW,439000,10018202,53.45467774,-113.5605772,0.03,53.454524,-113.560386,2,2,2,545,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,NaN,NaN,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2004,444900,6482,1769,2149,1370,781,4195,2349,2671
2547 hanna CRESCENT,3654,,2547,HANNA CRESCENT NW,425000,10021053,53.44951215,-113.592961,0.09,53.4495588,-113.5931341,3,3,3,NaN,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,NaN,NaN,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1675,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2006,444900,5691,1845,1853,1379,630,3776,2053,1491
