NAME,LATITUDE,LONGITUDE,LOCATION
Kilkenny Park/CL Barnett School,53.6100649408082,-113.450796861696,"(53.6100649408082, -113.450796861696)"
Bishop Savaryn School,53.6216076659156,-113.507145427046,"(53.6216076659156, -113.507145427046)"
Woodcroft Tot Lot,53.5677972066471,-113.555859033461,"(53.5677972066471, -113.555859033461)"
Westglen,53.5550044645446,-113.54243225034,"(53.5550044645446, -113.54243225034)"
Victoria Park,53.5339372299407,-113.523658198546,"(53.5339372299407, -113.523658198546)"
Matt Berry,53.6219152065896,-113.431312432402,"(53.6219152065896, -113.431312432402)"
Sherwood Playground,53.5288954236055,-113.587429951242,"(53.5288954236055, -113.587429951242)"
Overlanders Playground,53.5809882474652,-113.387382823878,"(53.5809882474652, -113.387382823878)"
McKernan Park,53.5109149357782,-113.519130356004,"(53.5109149357782, -113.519130356004)"
St Martin,53.4888517713673,-113.52359346513,"(53.4888517713673, -113.52359346513)"
Thorncliff Playground,53.5160789527225,-113.620734402425,"(53.5160789527225, -113.620734402425)"
JP Gillese Pk,53.5034278890575,-113.668995541621,"(53.5034278890575, -113.668995541621)"
Westglen,53.5549502209611,-113.542522065491,"(53.5549502209611, -113.542522065491)"
Academy at King Edward,53.5213586886573,-113.489740919008,"(53.5213586886573, -113.489740919008)"
Larkspur Dry Pond,53.4785604661085,-113.377968622731,"(53.4785604661085, -113.377968622731)"
Donnan Park/Arena,53.515327131203,-113.468686540012,"(53.515327131203, -113.468686540012)"
St. Gregory,53.5521139013941,-113.568845955456,"(53.5521139013941, -113.568845955456)"
Glengarry Park,53.5958256821613,-113.47732093166,"(53.5958256821613, -113.47732093166)"
Clara Tyner School,53.5310193089811,-113.436481804951,"(53.5310193089811, -113.436481804951)"
Evansdale School/Park,53.6104295811375,-113.482752900468,"(53.6104295811375, -113.482752900468)"
Michael Strembitsky,53.413815465555,-113.462554507825,"(53.413815465555, -113.462554507825)"
Eastwood Community League,53.5712070505739,-113.472379196019,"(53.5712070505739, -113.472379196019)"
Lansdowne CL,53.4870094864413,-113.545931490261,"(53.4870094864413, -113.545931490261)"
Brightview School,53.548787643087,-113.587793955406,"(53.548787643087, -113.587793955406)"
Kildare,53.6060912664164,-113.457675891714,"(53.6060912664164, -113.457675891714)"
Inglewood Tot Lot,53.5610507236464,-113.531824745834,"(53.5610507236464, -113.531824745834)"
Homesteader Community League,53.5864069299784,-113.408427567494,"(53.5864069299784, -113.408427567494)"
Grads Park Playground,53.5558655409858,-113.531346579114,"(53.5558655409858, -113.531346579114)"
Athlone Park,53.5891527962411,-113.545916328878,"(53.5891527962411, -113.545916328878)"
Rideau School,53.4780221008703,-113.504646041242,"(53.4780221008703, -113.504646041242)"
Rundle Park,53.5548656615858,-113.38731221698,"(53.5548656615858, -113.38731221698)"
Wellington Park Playground,53.5964809225467,-113.550355381787,"(53.5964809225467, -113.550355381787)"
Kensington Playground,53.5958999151816,-113.530708162229,"(53.5958999151816, -113.530708162229)"
West Meadowlark Community League,53.5293032865669,-113.606725688785,"(53.5293032865669, -113.606725688785)"
Violet Archer Park,53.5068716236871,-113.513460785604,"(53.5068716236871, -113.513460785604)"
Knob Hill Park,53.5317708409665,-113.479719557683,"(53.5317708409665, -113.479719557683)"
Lendrum Place Community League,53.494304016794,-113.523868857385,"(53.494304016794, -113.523868857385)"
Patricia Heights Playground,53.5108374858988,-113.604229685469,"(53.5108374858988, -113.604229685469)"
Oliver Arena/ Community League,53.5456108969534,-113.525814515566,"(53.5456108969534, -113.525814515566)"
Airway Park,53.5607166633735,-113.51446567627,"(53.5607166633735, -113.51446567627)"
Idylwylde/Metro School,53.5221338806523,-113.453259874358,"(53.5221338806523, -113.453259874358)"
Silver Heights Park,53.5327429258004,-113.464942738434,"(53.5327429258004, -113.464942738434)"
Oxford Park,53.6178162507156,-113.547561585966,"(53.6178162507156, -113.547561585966)"
Queen Mary CL,53.5542209694681,-113.524679548259,"(53.5542209694681, -113.524679548259)"
Ambleside,53.4330569465904,-113.603285920099,"(53.4330569465904, -113.603285920099)"
Westmount Back Alley Park,53.5522333061869,-113.547402554592,"(53.5522333061869, -113.547402554592)"
Wedgewood Heights,53.4805350102292,-113.646774262149,"(53.4805350102292, -113.646774262149)"
Empire Park Community League,53.4861737002845,-113.509240783002,"(53.4861737002845, -113.509240783002)"
Spruce Avenue Playground,53.5654160469149,-113.497543081327,"(53.5654160469149, -113.497543081327)"
Royal Gardens Community League,53.4782048141254,-113.535775741972,"(53.4782048141254, -113.535775741972)"
Kitchener Park,53.5441153509427,-113.518853998577,"(53.5441153509427, -113.518853998577)"
Northmount Playground,53.6032389089083,-113.481554944314,"(53.6032389089083, -113.481554944314)"
Montrose Community League,53.5725438951908,-113.433208777288,"(53.5725438951908, -113.433208777288)"
Montrose Community League,53.5725253991892,-113.432944176252,"(53.5725253991892, -113.432944176252)"
CASA Centre,53.4996498527462,-113.506960777588,"(53.4996498527462, -113.506960777588)"
Summerlea Playground,53.5270676470486,-113.623921912848,"(53.5270676470486, -113.623921912848)"
Waverley,53.5236845078095,-113.434189313187,"(53.5236845078095, -113.434189313187)"
Mount Pleasant Park,53.495352599909,-113.50043287686,"(53.495352599909, -113.50043287686)"
Scott Robertson,53.5961613498552,-113.504216277314,"(53.5961613498552, -113.504216277314)"
Crestwood Tot Lot,53.5388694755356,-113.57514094241,"(53.5388694755356, -113.57514094241)"
Garneau Community League,53.5198552907529,-113.513170831608,"(53.5198552907529, -113.513170831608)"
Brander Gardens School,53.4934458533156,-113.577754548448,"(53.4934458533156, -113.577754548448)"
Holy Family,53.4471815588338,-113.403671701987,"(53.4471815588338, -113.403671701987)"
Rutherford Park,53.4200238808567,-113.535001231815,"(53.4200238808567, -113.535001231815)"
Victoria,53.5541384548866,-113.494375640481,"(53.5541384548866, -113.494375640481)"
Lee Ridge School,53.4710125892278,-113.445931863902,"(53.4710125892278, -113.445931863902)"
Glengarry School,53.5956049736513,-113.484664714847,"(53.5956049736513, -113.484664714847)"
Baturyn Park,53.6327658319265,-113.504602338688,"(53.6327658319265, -113.504602338688)"
Canon Ridge,53.5804374793944,-113.378498711598,"(53.5804374793944, -113.378498711598)"
Keheewin School,53.448405672893,-113.502996526083,"(53.448405672893, -113.502996526083)"
St Paul,53.5334904376877,-113.571829294235,"(53.5334904376877, -113.571829294235)"
Elsinore/Chambery Park,53.6411994598625,-113.505620698769,"(53.6411994598625, -113.505620698769)"
Charles Simmonds Park,53.5152660441085,-113.530939001217,"(53.5152660441085, -113.530939001217)"
Blue Quill West,53.4568782513963,-113.539053345612,"(53.4568782513963, -113.539053345612)"
King Edward Pk,53.5135823182302,-113.460781134551,"(53.5135823182302, -113.460781134551)"
Richford,53.4258466010867,-113.507109748356,"(53.4258466010867, -113.507109748356)"
Rundle Park,53.5553265983949,-113.386314096454,"(53.5553265983949, -113.386314096454)"
Glenora Playground,53.5463645883304,-113.557094943581,"(53.5463645883304, -113.557094943581)"
Rainbow Valley Campground,53.4850942057115,-113.5555553998,"(53.4850942057115, -113.5555553998)"
Glenwood Community League,53.5358614701,-113.604899392135,"(53.5358614701, -113.604899392135)"
Lynnwood,53.516414560319,-113.587412879268,"(53.516414560319, -113.587412879268)"
Montrose School,53.5723019952305,-113.435505452244,"(53.5723019952305, -113.435505452244)"
Oxford Park,53.618057979548,-113.547900673669,"(53.618057979548, -113.547900673669)"
Inglewood Playground,53.5661961154005,-113.539410746223,"(53.5661961154005, -113.539410746223)"
Norwood Square,53.5648696050119,-113.487873697637,"(53.5648696050119, -113.487873697637)"
Henri Legay,53.6037401032721,-113.421418690172,"(53.6037401032721, -113.421418690172)"
Chalmers Park Playground,53.5908327394266,-113.534185371863,"(53.5908327394266, -113.534185371863)"
Sherbrooke Playground,53.574813369308,-113.548266468585,"(53.574813369308, -113.548266468585)"
Suder Greens,53.5210092383944,-113.684497661242,"(53.5210092383944, -113.684497661242)"
Crestwood Community League Playground,53.533200314882,-113.569608035274,"(53.533200314882, -113.569608035274)"
McCauley School,53.5531455963685,-113.484036919371,"(53.5531455963685, -113.484036919371)"
Sacred Heart School,53.5545465404064,-113.486560485899,"(53.5545465404064, -113.486560485899)"
Homesteader School,53.5868598317493,-113.412577918552,"(53.5868598317493, -113.412577918552)"
King Edward Pk,53.5135693943115,-113.460369600957,"(53.5135693943115, -113.460369600957)"
Maple Ridge Park,53.5016428629601,-113.368112950293,"(53.5016428629601, -113.368112950293)"
Laurier Heights School Playground,53.5168332129278,-113.567357499614,"(53.5168332129278, -113.567357499614)"
Hairsine Community League,53.6033456863533,-113.390056123539,"(53.6033456863533, -113.390056123539)"
Grovenor Playground,53.5457259754038,-113.568535871434,"(53.5457259754038, -113.568535871434)"
Ambleside,53.4328174200462,-113.603358157434,"(53.4328174200462, -113.603358157434)"
Kilkenny Park/CL Barnett School,53.6104169142049,-113.451252745974,"(53.6104169142049, -113.451252745974)"
James Ramsay Park,53.481071629216,-113.581327459166,"(53.481071629216, -113.581327459166)"
Ermineskin Park,53.4568607399519,-113.506022789136,"(53.4568607399519, -113.506022789136)"
Carlisle Playground,53.6051114455424,-113.524019687312,"(53.6051114455424, -113.524019687312)"
Greenfield Sch,53.4729013541335,-113.526935642163,"(53.4729013541335, -113.526935642163)"
Carlisle Playground,53.605010675683,-113.523743263451,"(53.605010675683, -113.523743263451)"
